synapse_file_id  filename
syn53122707  BBN_21792_SSC_S1_L001_R1_001.fastq.gz
syn53122883  BBN_21792_SSC_S1_L001_R2_001.fastq.gz
syn53122711  BBN_21792_SSC_S2_L001_R1_001.fastq.gz
syn53122890  BBN_21792_SSC_S2_L001_R2_001.fastq.gz
syn53009025  BBN_24279_EC_S1_L001_R1_001.fastq.gz
syn53009912  BBN_24279_EC_S1_L001_R2_001.fastq.gz
syn53009209  BBN_24279_SSC_S1_L001_R1_001.fastq.gz
syn53009915  BBN_24279_SSC_S1_L001_R2_001.fastq.gz
syn53009274  BBN_24308_EC_S1_L001_R1_001.fastq.gz
syn53016772  BBN_24308_EC_S1_L001_R2_001.fastq.gz
syn53009275  BBN_24308_SSC_S1_L001_R1_001.fastq.gz
syn53016770  BBN_24308_SSC_S1_L001_R2_001.fastq.gz
syn53009283  BBN_24330_EC_S1_L001_R1_001.fastq.gz
syn53016769  BBN_24330_EC_S1_L001_R2_001.fastq.gz
syn53056376  BBN_24330_MTG_S1_L001_R1_001.fastq.gz
syn53056865  BBN_24330_MTG_S1_L001_R2_001.fastq.gz
syn53056381  BBN_24330_SSC_S1_L001_R1_001.fastq.gz
syn53056871  BBN_24330_SSC_S1_L001_R2_001.fastq.gz
syn53009254  BBN_24370_EC_S1_L001_R1_001.fastq.gz
syn53016746  BBN_24370_EC_S1_L001_R2_001.fastq.gz
syn53122767  BBN_24370_MTG_S1_L001_R1_001.fastq.gz
syn53122936  BBN_24370_MTG_S1_L001_R2_001.fastq.gz
syn53122772  BBN_24370_MTG_S2_L001_R1_001.fastq.gz
syn53122941  BBN_24370_MTG_S2_L001_R2_001.fastq.gz
syn53122765  BBN_24370_SSC_S1_L001_R1_001.fastq.gz
syn53122932  BBN_24370_SSC_S1_L001_R2_001.fastq.gz
syn53122770  BBN_24370_SSC_S2_L001_R1_001.fastq.gz
syn53129552  BBN_24370_SSC_S2_L001_R2_001.fastq.gz
syn53009282  BBN_24578_EC_S1_L001_R1_001.fastq.gz
syn53016767  BBN_24578_EC_S1_L001_R2_001.fastq.gz
syn53122797  BBN_24578_MTG_S1_L001_R1_001.fastq.gz
syn53122961  BBN_24578_MTG_S1_L001_R2_001.fastq.gz
syn53122801  BBN_24578_MTG_S2_L001_R1_001.fastq.gz
syn53122966  BBN_24578_MTG_S2_L001_R2_001.fastq.gz
syn53122794  BBN_24578_SSC_S1_L001_R1_001.fastq.gz
syn53122958  BBN_24578_SSC_S1_L001_R2_001.fastq.gz
syn53122799  BBN_24578_SSC_S2_L001_R1_001.fastq.gz
syn53122965  BBN_24578_SSC_S2_L001_R2_001.fastq.gz
syn53008962  BBN_24610_EC_S1_L001_R1_001.fastq.gz
syn53009359  BBN_24610_EC_S1_L001_R2_001.fastq.gz
syn53056110  BBN_24610_MTG_S1_L001_R1_001.fastq.gz
syn53056456  BBN_24610_MTG_S1_L001_R2_001.fastq.gz
syn53056102  BBN_24610_SSC_S1_L001_R1_001.fastq.gz
syn53056458  BBN_24610_SSC_S1_L001_R2_001.fastq.gz
syn53009235  BBN_25890_EC_S1_L001_R1_001.fastq.gz
syn53010035  BBN_25890_EC_S1_L001_R2_001.fastq.gz
syn53009246  BBN_25890_SSC_S1_L001_R1_001.fastq.gz
syn53010032  BBN_25890_SSC_S1_L001_R2_001.fastq.gz
syn53009010  BBN_2625_EC_S1_L001_R1_001.fastq.gz
syn53009400  BBN_2625_EC_S1_L001_R2_001.fastq.gz
syn53008981  BBN_2625_SSC_S1_L001_R1_001.fastq.gz
syn53009398  BBN_2625_SSC_S1_L001_R2_001.fastq.gz
syn53009227  BBN_4186_EC_S1_L001_R1_001.fastq.gz
syn53016732  BBN_4186_EC_S1_L001_R2_001.fastq.gz
syn53009241  BBN_4186_SSC_S1_L001_R1_001.fastq.gz
syn53016731  BBN_4186_SSC_S1_L001_R2_001.fastq.gz
syn53009248  BBN_4250_EC_S1_L001_R1_001.fastq.gz
syn53010033  BBN_4250_EC_S1_L001_R2_001.fastq.gz
syn53009217  BBN_4250_SSC_S1_L001_R1_001.fastq.gz
syn53010025  BBN_4250_SSC_S1_L001_R2_001.fastq.gz
syn53009225  BBN_4575_EC_S1_L001_R1_001.fastq.gz
syn53010020  BBN_4575_EC_S1_L001_R2_001.fastq.gz
syn53058194  BBN_4575_MTG_S1_L001_R1_001.fastq.gz
syn53056691  BBN_4575_MTG_S1_L001_R2_001.fastq.gz
syn53056287  BBN_4575_SSC_S1_L001_R1_001.fastq.gz
syn53056703  BBN_4575_SSC_S1_L001_R2_001.fastq.gz
syn53008973  BBN_6122_EC_S1_L001_R1_001.fastq.gz
syn53009394  BBN_6122_EC_S1_L001_R2_001.fastq.gz
syn53008999  BBN_7115_EC_S1_L001_R1_001.fastq.gz
syn53009404  BBN_7115_EC_S1_L001_R2_001.fastq.gz
syn53009001  BBN_7115_SSC_S1_L001_R1_001.fastq.gz
syn53009401  BBN_7115_SSC_S1_L001_R2_001.fastq.gz
syn53008978  BBN_7333_EC_S1_L001_R1_001.fastq.gz
syn53009393  BBN_7333_EC_S1_L001_R2_001.fastq.gz
syn53008972  BBN_7333_SSC_S1_L001_R1_001.fastq.gz
syn53009396  BBN_7333_SSC_S1_L001_R2_001.fastq.gz
syn53009000  BBN_7403_EC_S1_L001_R1_001.fastq.gz
syn53009407  BBN_7403_EC_S1_L001_R2_001.fastq.gz
syn53009005  BBN_7403_SSC_S1_L001_R1_001.fastq.gz
syn53009406  BBN_7403_SSC_S1_L001_R2_001.fastq.gz
syn53009019  BBN_7404_EC_S1_L001_R1_001.fastq.gz
syn53009876  BBN_7404_EC_S1_L001_R2_001.fastq.gz
